Particles per Rotation, Validity(%)
1000,256
1500,251
2000,256
2500,240
3000,247
3500,266
4000,258
4500,256
5000,255
5500,252
6000,257
6500,256
7000,225
7500,242
8000,239
8500,244
9000,257
9500,263
10000,234
10500,252
11000,268
11500,254
12000,265
12500,238
