Probability,Velocity (m/s)
0.2249048,100000000.0
0.2501956,110000000.0
0.2708728,120000000.0
0.288534,130000000.0
0.3039608,140000000.0
0.3169788,150000000.0
0.3276156,160000000.0
0.3379536,170000000.0
0.3471432,180000000.0
0.3555104,190000000.0
0.361968,200000000.0
0.3687312,210000000.0
0.3748548,220000000.0
0.3804,230000000.0
0.3856828,240000000.0
0.390702,250000000.0
0.3943664,260000000.0
0.3976128,270000000.0
0.4011716,280000000.0
0.4048612,290000000.0
0.408478,300000000.0
0.4108776,310000000.0
0.4145808,320000000.0
0.4165108,330000000.0
0.4196056,340000000.0
0.4212304,350000000.0
0.4237332,360000000.0
0.426324,370000000.0
0.42727,380000000.0
0.4294032,390000000.0
0.4316832,400000000.0
0.4333796,410000000.0
0.4345228,420000000.0
0.436016,430000000.0
0.4367532,440000000.0
0.4392408,450000000.0
0.439968,460000000.0
0.4412732,470000000.0
0.4428796,480000000.0
0.4436728,490000000.0
0.4449988,500000000.0
0.4460112,510000000.0
0.4477712,520000000.0
0.4481352,530000000.0
0.4488228,540000000.0
0.4497112,550000000.0
0.4505924,560000000.0
0.4515116,570000000.0
0.4530044,580000000.0
0.4533764,590000000.0
0.4543888,600000000.0
0.4554284,610000000.0
0.4560228,620000000.0
0.4559784,630000000.0
0.4567804,640000000.0
0.4577828,650000000.0
0.458572,660000000.0
0.4589592,670000000.0
0.4596608,680000000.0
0.4600804,690000000.0
0.4609828,700000000.0
0.4612984,710000000.0
0.4620088,720000000.0
0.462232,730000000.0
0.4630832,740000000.0
0.4634368,750000000.0
0.46437,760000000.0
0.464314,770000000.0
0.4649988,780000000.0
0.4652004,790000000.0
0.4658436,800000000.0
0.4660316,810000000.0
0.4666688,820000000.0
0.4671216,830000000.0
0.467342,840000000.0
0.4671844,850000000.0
0.4677972,860000000.0
0.4682204,870000000.0
0.46889,880000000.0
0.4686352,890000000.0
0.4696932,900000000.0
0.4701628,910000000.0
0.470034,920000000.0
0.4701244,930000000.0
0.4708128,940000000.0
0.4709232,950000000.0
0.471652,960000000.0
0.471764,970000000.0
0.4717388,980000000.0
0.471842,990000000.0
